addr1,addr2,areacode,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,cpyrhtDivCd,mapx,mapy,mlevel,modifiedtime,sigungucode,tel,title,zipcode,lDongRegnCd,lDongSignguCd,lclsSystm1,lclsSystm2,lclsSystm3
경기도 김포시 김포한강2로23번길 72 (장기동),,31,A02,A0203,A02030600,2720202,12,20210609023344,http://tong.visitkorea.or.kr/cms/resource/25/3362425_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/25/3362425_image3_1.jpg,Type3,126.6796240019,37.6402403401,6,20250320144057,8,,라베니체 마치에비뉴,10090,41,570,VE,VE04,VE040100
경기 김포시 장기동 2028,,,,,,2781577,12,20211126193159,https://tong.visitkorea.or.kr/cms/resource/13/3092413_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/13/3092413_image3_1.jpg,Type1,126.678128,37.641958,6,20260312090840,,,라베니체광장,415060,41,570,VE,VE03,VE030500
경기도 화성시 동탄반석로 172 동탄 파라곤 1차 102동 2층,"(반송동,동탄 파라곤)",31,A05,A0502,A05020700,2732301,39,20210809225526,http://tong.visitkorea.or.kr/cms/resource/42/2783042_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/42/2783042_image3_1.jpg,Type3,127.0717588484,37.2040729466,6,20250103162144,31,,라본테이블 본점,18454,41,590,FD,FD02,FD020400
경기도 화성시 정남면 세자로 286,,31,A02,A0202,A02020200,973052,12,20100315183311,http://tong.visitkorea.or.kr/cms/resource/11/3098311_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/11/3098311_image3_1.jpg,Type3,126.9841755929,37.1871455658,6,20250320171901,31,,라비돌 호텔&리조트,18516,41,590,VE,VE05,VE050200
경기도 화성시 정남면 세자로 286,,31,A03,A0302,A03020700,131417,28,20030327090000,http://tong.visitkorea.or.kr/cms/resource/22/3567522_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/22/3567522_image3_1.jpg,Type3,126.9821951196,37.1906479030,6,20251117143223,31,,라비돌컨트리클럽,18516,41,590,LS,LS01,LS010400
경기도 성남시 분당구 판교공원로3길 16,1층,31,A05,A0502,A05020200,2874983,39,20221025152657,http://tong.visitkorea.or.kr/cms/resource/78/2874978_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/78/2874978_image3_1.JPG,Type3,127.0895714136,37.3916043240,6,20250121180259,12,,라비떼,13477,41,135,FD,FD02,FD020300
경기도 고양시 덕양구 고양대로 1955 (동산동),B1층,,,,,2930546,38,20221031220529,https://tong.visitkorea.or.kr/cms/resource/82/4041982_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/82/4041982_image3_1.jpg,Type3,126.89477806511,37.6469771187284,6,20260326092041,,,라수아패밀리 스타필드 고양점,10595,41,281,SH,SH04,SH040300
경기도 하남시 미사대로 750 (신장동),1층,,,,,2928477,38,20221031224543,https://tong.visitkorea.or.kr/cms/resource/19/4018819_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/19/4018819_image3_1.jpg,Type3,127.223940331575,37.5454041231797,6,20260327092150,,,라수아패밀리 스타필드 하남점,12942,41,450,SH,SH04,SH040300
경기도 포천시 이동면 제비울2길 161,,31,A03,A0302,A03020700,2751297,28,20210929225813,http://tong.visitkorea.or.kr/cms/resource/89/2751289_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/89/2751289_image3_1.jpg,Type3,127.3848575956,37.9977475427,6,20250805130644,29,,라싸CC,11113,41,650,LS,LS01,LS010400
경기도 남양주시 화도읍 북한강로 1146,,,,,,2829105,39,20220725113328,https://tong.visitkorea.or.kr/cms/resource/88/2829088_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/88/2829088_image3_1.jpg,Type3,127.34390935598898,37.61617058251953,6,20260318101005,,,라온숨,12194,41,360,FD,FD05,FD050100
경기도 가평군 상면 수목원로 224,,31,A03,A0302,A03021700,2909713,28,20221116110241,http://tong.visitkorea.or.kr/cms/resource/02/2909702_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/02/2909702_image3_1.JPG,Type3,127.3611306432,37.7586082949,6,20250410153907,1,,라온힐캠핑장,12448,41,820,AC,AC05,AC050100
경기도 화성시 향남읍 서낭목길 11,,31,A05,A0502,A05020900,2753327,39,20211006015348,http://tong.visitkorea.or.kr/cms/resource/45/2753845_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/45/2753845_image3_1.jpg,Type3,126.9138360512,37.1401303117,6,20250826152426,31,,라운지11,18587,41,590,FD,FD05,FD050100
경기도 여주시 명품로 360 (상거동),,,,,,3305683,38,20240202174536,https://tong.visitkorea.or.kr/cms/resource/17/4042017_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/17/4042017_image3_1.jpg,Type3,127.612385423931,37.2459466972835,6,20260326092041,,,라움 신세계사이먼프리미엄아울렛 여주점,12646,41,670,SH,SH04,SH040300
경기도 파주시 탄현면 필승로 200,2층,,,,,2925839,38,20221031144508,https://tong.visitkorea.or.kr/cms/resource/82/4022482_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/82/4022482_image3_1.jpg,Type3,126.695385303664,37.769351232912,6,20260326092041,,,라움 신세계사이먼프리미엄아울렛 파주점,10862,41,480,SH,SH04,SH040300
경기도 성남시 분당구 판교역로146번길 20 (백현동),2층,,,,,2931816,38,20221030193557,https://tong.visitkorea.or.kr/cms/resource/62/4019562_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/62/4019562_image3_1.jpg,Type3,127.112017130086,37.39279369494,6,20260319094959,,,라이카 스토어 현대백화점 판교점,13529,41,135,SH,SH04,SH040300
경기도 수원시 팔달구 고화로9번길 1 (매산로2가),,31,A05,A0502,A05020900,2893055,39,20221101163525,http://tong.visitkorea.or.kr/cms/resource/51/2893051_image2_1.jpeg,http://tong.visitkorea.or.kr/cms/resource/51/2893051_image3_1.jpeg,Type3,127.0079433420,37.2703030298,6,20250527151221,13,,라이크 노 아더,16456,41,115,FD,FD05,FD050100
경기도 고양시 일산동구 무궁화로 8-19 (장항동),,31,A05,A0502,A05020900,2892029,39,20221031163335,http://tong.visitkorea.or.kr/cms/resource/20/2892020_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/20/2892020_image3_1.jpg,Type3,126.7668237794,37.6610644657,6,20250423133637,2,,라이크라이크,10401,41,285,FD,FD05,FD050100
경기도 안양시 동안구 동안로 119 (호계동),,,,,,3306029,38,20240202152547,https://tong.visitkorea.or.kr/cms/resource/93/4021693_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/93/4021693_image3_1.jpg,Type3,126.951223253535,37.3892103451392,6,20260327092150,,,라이프워크 뉴코아아울렛 평촌점,14073,41,173,SH,SH04,SH040300
경기도 수원시 영통구 도청로 10 (이의동),B1층,,,,,4025414,38,20260227003529,https://tong.visitkorea.or.kr/cms/resource/66/4045166_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/66/4045166_image3_1.jpg,Type3,127.055448351197,37.2866696524735,,20260330091611,,,라이프워크 롯데몰 광교점,16508,41,117,SH,SH04,SH040300
경기도 광명시 일직로 17 (일직동),3층,,,,,4025297,38,20260226225255,https://tong.visitkorea.or.kr/cms/resource/67/4045367_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/67/4045367_image3_1.jpg,Type3,126.882779952497,37.4243110028905,,20260330091611,,,라이프워크 롯데몰 광명점,14352,41,210,SH,SH04,SH040300
경기도 안양시 동안구 시민대로 180 (호계동),,,,,,2923060,38,20221030161509,https://tong.visitkorea.or.kr/cms/resource/02/4019802_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/02/4019802_image3_1.jpg,Type3,126.950178643649,37.390002179095,6,20260327092150,,,라이프워크 롯데백화점 평촌점,14073,41,173,SH,SH04,SH040300
경기도 고양시 일산동구 중앙로 1036 (백석동),4층,,,,,4010635,38,20260203174336,https://tong.visitkorea.or.kr/cms/resource/22/4042522_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/22/4042522_image3_1.jpg,Type3,126.789797411977,37.6431349100152,,20260327092150,,,라이프워크 롯데아울렛 고양터미널점,10450,41,285,SH,SH04,SH040300
경기도 구리시 동구릉로136번길 47 (인창동),3층,,,,,4025311,38,20260226230216,https://tong.visitkorea.or.kr/cms/resource/69/4045369_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/69/4045369_image3_1.jpg,Type3,127.140545179713,37.6118620717256,,20260330091611,,,라이프워크 롯데아울렛 구리점,11915,41,310,SH,SH04,SH040300
경기도 용인시 기흥구 신고매로 124 (고매동),1층,,,,,4026239,38,20260227182052,https://tong.visitkorea.or.kr/cms/resource/74/4045374_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/74/4045374_image3_1.jpg,Type3,127.121283960956,37.2255419641124,,20260330091611,,,라이프워크 롯데프리미엄아울렛 기흥점,17087,41,463,SH,SH04,SH040300
경기도 파주시 회동길 390 (문발동),,,,,,4026327,38,20260227200342,https://tong.visitkorea.or.kr/cms/resource/77/4045377_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/77/4045377_image3_1.jpg,Type3,126.693761637413,37.7178192715729,,20260330091611,,,라이프워크 롯데프리미엄아울렛 파주점,10881,41,480,SH,SH04,SH040300
경기도 고양시 일산서구 탄중로 123 (덕이동),,,,,,4010652,38,20260203175002,https://tong.visitkorea.or.kr/cms/resource/53/4042553_image2_1.JPG,https://tong.visitkorea.or.kr/cms/resource/53/4042553_image3_1.JPG,Type3,126.758573180657,37.6927969888199,,20260326092041,,,라이프워크 메가스토어 일산점,10233,41,287,SH,SH04,SH040300
경기도 남양주시 경강로 356-1 (삼패동),1층,,,,,4012017,38,20260205112822,https://tong.visitkorea.or.kr/cms/resource/62/4042062_image2_1.JPG,https://tong.visitkorea.or.kr/cms/resource/62/4042062_image3_1.JPG,Type3,127.197052357391,37.5937632675389,,20260326092041,,,라이프워크 삼패메가몰,12245,41,360,SH,SH04,SH040300
경기도 고양시 덕양구 고양대로 1955 (동산동),2층,,,,,4010521,38,20260203171539,https://tong.visitkorea.or.kr/cms/resource/66/4042366_image2_1.JPG,https://tong.visitkorea.or.kr/cms/resource/66/4042366_image3_1.JPG,Type3,126.89477806511,37.6469771187284,,20260327092150,,,라이프워크 스타필드 고양점,10595,41,281,SH,SH04,SH040300
경기도 시흥시 서해안로 699 (배곧동),3층,,,,,4011538,38,20260204170017,https://tong.visitkorea.or.kr/cms/resource/08/4043008_image2_1.JPG,https://tong.visitkorea.or.kr/cms/resource/08/4043008_image3_1.JPG,Type3,126.736985310798,37.3796755964231,,20260327092150,,,라이프워크 신세계사이먼프리미엄아울렛 시흥점,15010,41,390,SH,SH04,SH040300
경기도 파주시 탄현면 필승로 200,1층,,,,,4011947,38,20260205022020,https://tong.visitkorea.or.kr/cms/resource/82/4043582_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/82/4043582_image3_1.jpg,Type3,126.695385303664,37.769351232912,,20260327092150,,,라이프워크 신세계사이먼프리미엄아울렛 파주점,10862,41,480,SH,SH04,SH040300
경기도 안산시 상록구 삼리로 46 (사동),,,,,,4008185,38,20260129041641,https://tong.visitkorea.or.kr/cms/resource/16/4021616_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/16/4021616_image3_1.jpg,Type3,126.845058398066,37.3045241125864,,20260316103559,,,라이프워크 안산점,15504,41,271,SH,SH04,SH040300
경기도 수원시 권선구 세화로 134 (서둔동),2층,,,,,2926814,38,20221030202612,https://tong.visitkorea.or.kr/cms/resource/91/4019191_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/91/4019191_image3_1.jpg,Type3,126.997385539043,37.264162726921,6,20260327092150,,,라이프워크 타임빌라스 수원점,16621,41,113,SH,SH04,SH040300
경기도 여주시 명품로 316-2 (상거동),,,,,,4011701,38,20260204195033,https://tong.visitkorea.or.kr/cms/resource/30/4043130_image2_1.JPG,https://tong.visitkorea.or.kr/cms/resource/30/4043130_image3_1.JPG,Type3,127.616953060327,37.2418072567357,,20260327092150,,,라이프워크 프리미엄빌리지 여주점,12646,41,670,SH,SH04,SH040300
